original_isbn,img,price,url,provider
042510687X,https://lzd-img-global.slatic.net/g/p/8ffceead1eee712b37e1cb60b9bd4f23.jpg_200x200q80.jpg_.webp,18.19,https:////www.lazada.sg/products/outbreak-code-red-by-chris-ryan-uk-edition-paperback-i2231297287.html,Lazada
043402080X,https://lzd-img-global.slatic.net/g/p/dacc75e9605e0babbbd188ca5d74c092.jpg_200x200q80.jpg_.webp,17.60,https:////www.lazada.sg/products/the-king-and-the-magician-i1681646865.html,Lazada
043977134X,https://lzd-img-global.slatic.net/g/p/8556ccac1c8de374a4517dc278a92572.jpg_200x200q80.jpg_.webp,11.38,https:////www.lazada.sg/products/gregor-the-overlander-by-suzanne-collins-uk-edition-paperback-i2171061265.html,Lazada
044024191X,https://lzd-img-global.slatic.net/g/p/7dd4b4292b20ddc3fe51fd973237c534.jpg_200x200q80.jpg_.webp,6.96,https:////www.lazada.sg/products/ready-stockwiley-investment-classicsreminiscences-of-a-stock-operator-by-edwin-lefevre-business-books-investment-book-popular-highly-recommended-financial-wealth-management-reading-materials-for-investors-gifts-years-of-experience-in-the-market-i2110739224.html,Lazada
044101268X,https://lzd-img-global.slatic.net/g/p/2f7aba5e3c6692fa2f7519caad233fe5.jpg_200x200q80.jpg_.webp,22.67,https:////www.lazada.sg/products/furies-of-calderon-the-codex-alera-book-one-by-jim-butcher-uk-edition-paperback-i2231216439.html,Lazada
044101769X,https://lzd-img-global.slatic.net/g/p/ba156d09e0e170df7bbab95cf3c8d48c.jpg_200x200q80.jpg_.webp,24.69,https:////www.lazada.sg/products/first-lords-fury-the-codex-alera-book-six-by-jim-butcher-uk-edition-paperback-i2231265187.html,Lazada
044101819X,https://lzd-img-global.slatic.net/g/p/37b1f11248aa171472f56be3b7a347c7.jpg_200x200q80.jpg_.webp,59.90,https:////www.lazada.sg/products/38-acoustic-guitar-for-beginners-i141943301.html,Lazada
044669651X,https://lzd-img-global.slatic.net/g/p/c1e11f909d2a7bbf3ea77c08a2721370.jpg_200x200q80.jpg_.webp,16.86,https:////www.lazada.sg/products/the-true-believer-thoughts-on-the-nature-of-mass-movements-by-eric-hoffer-us-edition-paperback-i2049249587.html,Lazada
045146091X,https://lzd-img-global.slatic.net/g/p/5003649d9d7ee68e589ae5a92aee104d.jpg_200x200q80.jpg_.webp,19.90,https:////www.lazada.sg/products/dead-beat-by-val-mcdermid-uk-edition-paperback-i2239681643.html,Lazada
045146317X,https://lzd-img-global.slatic.net/g/p/bd0508e19379350582a9ea8f88454206.jpg_webp_200x200q80.jpg_.webp,16.58,https:////www.lazada.sg/products/authentic-chinese-history-of-addiction-at-first-reading-wenbo-mausoleum-the-big-change-is-interesting-there-are-materials-and-test-sites-history-books-of-song-dynasty-china-history-books-cultures-i2867897173.html,Lazada
045146379X,https://lzd-img-global.slatic.net/g/p/fc93b6539dda32d1afa8f681fd2435cc.jpg_200x200q80.jpg_.webp,15.29,https:////www.lazada.sg/products/the-ghost-club-a-childrens-story-by-abesh-choudhury-us-edition-paperback-i2228579570.html,Lazada
051722285X,https://lzd-img-global.slatic.net/g/p/731c51aca2c053d9ecbcd4fbeac17245.jpg_200x200q80.jpg_.webp,36.14,https:////www.lazada.sg/products/the-shell-seekers-by-rosamunde-pilcher-us-edition-paperback-i2238623579.html,Lazada
054522490X,https://lzd-img-global.slatic.net/g/p/c9e4c678cf90847f2f095fbab9ad987c.jpg_200x200q80.jpg_.webp,22.04,https:////www.lazada.sg/products/the-scorpio-races-by-maggie-stiefvater-us-edition-paperback-i2228063159.html,Lazada
054762834X,https://lzd-img-global.slatic.net/g/p/d6238cdc1ecf7a75192e1384bbf3ec82.jpg_200x200q80.jpg_.webp,21.06,https:////www.lazada.sg/products/grave-mercy-by-robin-lafevers-uk-edition-paperback-i2992696030.html,Lazada
055215315X,https://lzd-img-global.slatic.net/g/p/bcd74730c48b49f18749c1fb020828a4.jpg_200x200q80.jpg_.webp,41.29,https:////www.lazada.sg/products/copper-lady-life-in-the-met-and-lords-by-baroness-jenny-hilton-uk-edition-hardcover-i2226048104.html,Lazada
055215430X,https://lzd-img-global.slatic.net/g/p/77437b177329874a595f1fda88b6c942.jpg_200x200q80.jpg_.webp,43.61,https:////www.lazada.sg/products/last-watch-of-the-night-by-paul-monette-us-edition-paperback-i2240593687.html,Lazada
055255264X,https://lzd-img-global.slatic.net/g/p/affc74aa08e0c0e57c1b15298cc82d84.jpg_200x200q80.jpg_.webp,18.49,https:////www.lazada.sg/products/a-hat-full-of-sky-discworld-novel-32-by-terry-pratchett-uk-edition-paperback-i2228378426.html,Lazada
055381706X,https://lzd-img-global.slatic.net/g/p/54dad8b9fde2797a1cd41edd53447373.jpg_200x200q80.jpg_.webp,22.92,https:////www.lazada.sg/products/the-surgeon-of-crowthorne-a-tale-of-murder-madness-and-the-oxford-english-by-simon-winchester-uk-edition-paperback-i2227318885.html,Lazada
057506689X,https://lzd-img-global.slatic.net/g/p/bc26c830db54a0f2dd78385901dabb51.jpg_200x200q80.jpg_.webp,115.90,https:////www.lazada.sg/products/soul-hackers-2-25th-anniversary-edition-included-soul-hackers-25th-anniversary-music-album-3-cds-30-tracks-soul-hackers-25th-anniversary-book-ai-ho-kun-figure-special-costume-dlc-mary-style-maid-outfit-ai-ho-kun-dlc-ps5-i2878681228.html,Lazada
057507681X,https://lzd-img-global.slatic.net/g/p/27a8e361a3ff9f732947468e8b7e4efe.jpg_200x200q80.jpg_.webp,30.72,https:////www.lazada.sg/products/a-scanner-darkly-by-philip-k-dick-us-edition-paperback-i2239152747.html,Lazada
059044297X,https://lzd-img-global.slatic.net/g/p/c018c0c65f12a5fafe66f8e18f980a5a.jpg_200x200q80.jpg_.webp,1.30,https:////www.lazada.sg/products/wholesale-abc-sticker-book-kids-children-coloring-hello-kitty-frozen-mcqueen-spiderman-pokemon-pony-children-birthday-l-color-book-l-preschool-activity-book-l-children-day-gifts-i2746913283.html,Lazada
067001110X,https://lzd-img-global.slatic.net/g/p/70467f16cff12ee26aa89955e06d464d.jpg_200x200q80.jpg_.webp,21.26,https:////www.lazada.sg/products/wintergirls-by-laurie-halse-anderson-us-edition-paperback-i2226905296.html,Lazada
